Name,Description,Author,Comment,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
The Stars_downgraded,Terribly mysterious|[80%][gray]May you find your purpose[],Trobby,Taken from Trollmod,2,/* stolen from tennis! shouts to paul (who's paul?) */ if(simulation){ bonus(1000); }else{ var newThing = rand(loadtext(~diceydungeons/mysterybox~)); trace(newThing); var newEq = new elements.Equipment(newThing); newEq.downgrade(); newEq.x = e.x; newEq.y = e.y; newEq.temporary_thisturnonly = true; newEq.equippedby = self; newEq.resize(2); self.equipment.push(newEq); runscript(~ncrmod/snap~|[newEq|true|0|self|target]); sfx(~jester_snap~); target.textparticle(newThing+~!~); e.assigneddice[0].dicealpha = 0; e.show = false; },Steal,NORMAL,,YELLOW,,,,,0,NO,NO,excludefromrandomlists|tarot|curseavoid,1,,,,,,,,The Stars,The Stars,,
Down with the Quickness,Your other items' gadgets|become [quote]Quick Thinking[quote]|[gray](once per run),Tick of Wibi,,1,for(eq in self.equipment) if(eq.skillcard == ~~) { eq.equipmentcol = e.equipmentcol; eq.gadget = ~Quick Thinking~; } e.temporary_thisturnonly = true;,Quick Thinking,NORMAL,,YELLOW,,,,,0,YES,NO,weakenavoid|weakenimmune|destroy,,,,,,,,,,,,
Oddeven Dicemanip,At odd health: flip the dice|Even health: reroll the dice,Tick of Wibi,Taken from Wibimod (PU ncrmod),1,if(self.hp % 2 == 1) givedice(7 - d); else givedice();,Rollout,NORMAL,,RED,change_power,,,,0,YES,NO,,,,,,,,,,,,,
Oddeven Dicemanip_upgraded,At odd health: flip the dice|Even health: reroll the dice|Recover [heart]2 health,Tick of Wibi,Taken from Wibimod (PU ncrmod),1,if(self.hp % 2 == 1) givedice(7 - d); else givedice(); attackself(-2); sfx(~_heal~);,Rollout,NORMAL,,RED,,,,,0,YES,NO,,,,,,,,,,,,,
Oddeven Dicemanip_downgraded,At odd health: flip the dice|Even health: reroll the dice,Tick of Wibi,Taken from Wibimod (PU ncrmod),1,if(self.hp % 2 == 1) givedice(7 - d); else givedice();,Rollout,REQUIRE1,,RED,change_power,,,,0,YES,NO,,,,,,,,,,,,,
Stack,Do [sword]2 damage[;] change|slot to <d6> this turn|,Scout of Wibi,Taken from Wibimod (PU ncrmod),1,attack(2); sfxdamage(target|2); if(e.getslots()[0] == ~NORMAL~) { e.sourceequipment.fulldescription = ~Do [sword]2 damage[newline]~; e.sourceequipment.changeslots([~REQUIRE~ + d]); e.sourceequipment.animate(~flashandshake~); },Efficiency,NORMAL,,RED,change_power,change_power,,,-1,NO,NO,,,,,,,,,if(e.getslots()[0] != ~NORMAL~) { e.fulldescription = ~Do [sword]2 damage| change~ + ~#~.charAt(0) + ~slot to <d6> this turn~ + ~#~.charAt(0); e.resetslots(); e.animate(~flash~); },,,,
Stack_upgraded,Do [sword]3 damage[;] change|slot to <d6> this turn|,Scout of Wibi,Taken from Wibimod (PU ncrmod),1,attack(3); sfxdamage(target|3); if(e.getslots()[0] == ~NORMAL~) { e.sourceequipment.fulldescription = ~Do [sword]3 damage[newline]~; e.sourceequipment.changeslots([~REQUIRE~ + d]); e.sourceequipment.animate(~flashandshake~); },Efficiency,NORMAL,,RED,,,,,-1,NO,NO,,,,,,,,,if(e.getslots()[0] != ~NORMAL~) { e.fulldescription = ~Do [sword]3 damage| change~ + ~#~.charAt(0) + ~slot to <d6> this turn~ + ~#~.charAt(0); e.resetslots(); e.animate(~flash~); },,,,
Stack_downgraded,Do [sword]1 damage[;] change|slot to <d6> this turn|,Scout of Wibi,Taken from Wibimod (PU ncrmod),1,attack(1); sfxdamage(target|1); if(e.getslots()[0] == ~NORMAL~) { e.sourceequipment.fulldescription = ~Do [sword]1 damage[newline]~; e.sourceequipment.changeslots([~REQUIRE~ + d]); e.sourceequipment.animate(~flashandshake~); },Efficiency,NORMAL,,RED,,,,,-1,NO,NO,,,,,,,,,if(e.getslots()[0] != ~NORMAL~) { e.fulldescription = ~Do [sword]1 damage| change~ + ~#~.charAt(0) + ~slot to <d6> this turn~ + ~#~.charAt(0); e.resetslots(); e.animate(~flash~); },,,,
Twoey,Drain [heal]<d6> health. If this|kills[;] increase slot range,Diane of Wibi,Taken from Wibimod (PU ncrmod),1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@2~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX1,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey_upgraded,Drain [heal]<d6>[;] gain [thorns]1. If this|kills[;] increase slot range,Diane of Wibi,Taken from Wibimod (PU ncrmod),1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); inflictself(THORNS); sfx(~_thorns~|~~|0.2); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@2_upgraded~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX1,,GREEN,,,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey_downgraded,Inflict [weaken]1 weaken,Diane of Wibi,Taken from Wibimod (PU ncrmod),1,sfx(~_weaken~); inflict(WEAKEN); /* audrey ii.     audrey.            get it                              Feed Me (Git It) */,Feed the Plant,MAX1,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,
Twoey@2,Drain [heal]<d6> health. If this|kills[;] increase slot range,Diane of Wibi,yep we're doing this again,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@3~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX2,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@2_upgraded,Drain [heal]<d6>[;] gain [thorns]1. If this|kills[;] increase slot range,Diane of Wibi,,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); inflictself(THORNS); sfx(~_thorns~|~~|0.2); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@3_upgraded~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX2,,GREEN,,,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@2_downgraded,Inflict [weaken]1 weaken,Diane of Wibi,,1,sfx(~_weaken~); inflict(WEAKEN);,Feed the Plant,MAX2,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,
Twoey@3,Drain [heal]<d6> health. If this|kills[;] increase slot range,Diane of Wibi,,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@4~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX3,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@3_upgraded,Drain [heal]<d6>[;] gain [thorns]1. If this|kills[;] increase slot range,Diane of Wibi,,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); inflictself(THORNS); sfx(~_thorns~|~~|0.2); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@4_upgraded~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX3,,GREEN,,,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@3_downgraded,Inflict [weaken]1 weaken,Diane of Wibi,,1,sfx(~_weaken~); inflict(WEAKEN);,Feed the Plant,MAX3,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,
Twoey@4,Drain [heal]<d6> health. If this|kills[;] increase slot range,Diane of Wibi,,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@5~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX4,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@4_upgraded,Drain [heal]<d6>[;] gain [thorns]1. If this|kills[;] increase slot range,Diane of Wibi,,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); inflictself(THORNS); sfx(~_thorns~|~~|0.2); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@5_upgraded~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX4,,GREEN,,,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@4_downgraded,Inflict [weaken]1 weaken,Diane of Wibi,,1,sfx(~_weaken~); inflict(WEAKEN);,Feed the Plant,MAX4,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,
Twoey@5,Drain [heal]<d6> health. If this|kills[;] increase slot range,Diane of Wibi,,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@6~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX5,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@5_upgraded,Drain [heal]<d6>[;] gain [thorns]1. If this|kills[;] increase slot range,Diane of Wibi,,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); inflictself(THORNS); sfx(~_thorns~|~~|0.2); if(target.hp <= 0) { var neweq = new elements.Equipment(~Twoey@6_upgraded~); neweq.x = e.getvar(~thisx~); neweq.y = e.getvar(~thisy~); self.equipment[self.equipment.indexOf(e)] = neweq; neweq.animate(~flashandshake~); },Feed the Plant,MAX5,,GREEN,,,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@5_downgraded,Inflict [weaken]1 weaken,Diane of Wibi,,1,sfx(~_weaken~); inflict(WEAKEN);,Feed the Plant,MAX5,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,
Twoey@6,Drain [heal]<d6> health|[gray][80%]''Capitalism is bad'',Diane of Wibi,,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); if(target.hp <= 0) { },Feed the Plant,NORMAL,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@6_upgraded,Drain [heal]<d6>[;] gain [thorns]1|[gray][80%]''Capitalism is bad'',Diane of Wibi,,1,sfxdamage(target|d); sfx(~_drain~|~~|0.15); drain(d); inflictself(THORNS); sfx(~_thorns~|~~|0.2); if(target.hp <= 0) { },Feed the Plant,NORMAL,,GREEN,,,,,0,NO,NO,,,,,,e.setvar(~thisx~|e.x); e.setvar(~thisy~|e.y);,,,,,,,
Twoey@6_downgraded,Inflict [weaken]1 weaken|[gray][80%]''Capitalism is bad'',Diane of Wibi,,1,sfx(~_weaken~); inflict(WEAKEN);,Feed the Plant,NORMAL,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,
Samethrower,Do [fire]<slotdoubles> damage|Inflict [fire]2 burn,Diane of Wibi,Taken from Wibimod (PU ncrmod),1,attack(d|FIRE); sfxdamage(target|d); inflict(FIRE|2); sfx(~_fire~|~~|0.2);,Mass Deception,DOUBLES|DOUBLES,,RED,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Samethrower_upgraded,Do [fire]<d6> damage|Inflict [fire]2 burn,Diane of Wibi,Taken from Wibimod (PU ncrmod),1,attack(d|FIRE); sfxdamage(target|d); inflict(FIRE|2); sfx(~_fire~|~~|0.2);,Mass Deception,EVEN,,RED,,,,,0,NO,NO,,,,,,,,,,,,,
Samethrower_downgraded,Do [fire]<slotdoubles> damage,Diane of Wibi,Taken from Wibimod (PU ncrmod),1,attack(d|FIRE); sfxdamage(target|d);,Mass Deception,DOUBLES|DOUBLES,,RED,,,,,0,NO,NO,,,,,,,,,,,,,
Shove,Inflict [weaken]Weaken|Again next turn,Diane of Wibi,Taken from Wibimod (PU ncrmod),1,inflict(WEAKEN);,Burrower,MIN4,,ORANGE,simplify,doublerequirements,,,0,NO,NO,,,,,,if(e.timesused > 0) { e.animate(~flashandshake~); inflict(WEAKEN|e.timesused); sfx(~_weaken~); e.timesused = 0; },,,,,,,e.timesused--;
Ham,Inflict [shock]Shock|Again next turn,Diane of Wibi,Taken from Wibimod (PU ncrmod),1,inflict(SHOCK);,Jackhammer,MIN4,,YELLOW,simplify,doublerequirements,,,0,NO,NO,,,,,,if(e.timesused > 0) { e.animate(~flashandshake~); inflict(SHOCK|e.timesused); sfx(~_shock~); e.timesused = 0; },,,,,,,e.timesused--;
New Moon Charm,No effect|When lowered[;] roll a dice|[gray](once per battle),Lub of Wibi,Taken from Wibimod (PU ncrmod),1,self.textparticle(~No effect!~);,One More Roll,COUNTDOWN,6,PURPLE,change_power,change_power,,,0,YES,NO,,,,,,,,if(e.dicehistory.length > 0) { e.dicehistory = []; givedice(); },,,,,
New Moon Charm_upgraded,Do [sword]6 damage|When lowered[;] roll a dice|[gray](once per battle),Lub of Wibi,Taken from Wibimod (PU ncrmod),1,attack(6); sfxdamage(target|6);,One More Roll,COUNTDOWN,6,PURPLE,,,,,0,YES,NO,,,,,,,,if(e.dicehistory.length > 0) { e.dicehistory = []; givedice(); },,,,,
New Moon Charm_downgraded,Lose [heart]3 health|When lowered[;] roll a dice|[gray](once per battle),Lub of Wibi,Taken from Wibimod (PU ncrmod),1,pierceattackself(3); sfx(~_drain~);,One More Roll,COUNTDOWN,6,PURPLE,,,,,0,YES,NO,,,,,,,,if(e.dicehistory.length > 0) { e.dicehistory = []; givedice(); },,,,,
Flamebringer,Do [sword]2 damage|Last use: +[fire]4 burn|,Wibi,Taken from ncrmod,1,attack(2); sfxdamage(target|2); if(e.usesleft == 0) { inflict(FIRE|4); sfx(~_fire~|~~|0.2); },Heat Ray,COUNTDOWN,4,RED,change_power,change_power,,,4,NO,NO,,1,,,,,,,,,,,
Flamebringer_downgraded,Do [sword]2 damage|,Wibi,Taken from ncrmod,1,attack(2); sfxdamage(target|2);,Heat Ray,COUNTDOWN,4,RED,,,,,4,NO,NO,,,,,,,,,,,,,
Flamebringer_upgraded,Do [sword]3 damage|Last use: +[fire]4 burn|,Wibi,Taken from ncrmod,1,attack(3); sfxdamage(target|3); if(e.usesleft == 0) { inflict(FIRE|4); sfx(~_fire~|~~|0.2); } /*attack(2); if(e.usesleft == 0) { attack(8|FIRE); sfx(~_fire~|~~|0.2); sfxdamage(target|10); } else { sfxdamage(target|2); }*/,Heat Ray,COUNTDOWN,4,RED,,,,,4,NO,NO,,,,,,,,,,,,,
Strange Parcel,Do [sword]<d6> damage. On 1[;] get|an [quote]on 6[quote] item for this turn,Wibi,Taken from ncrmod,2,if(!simulation) { for(eq in self.equipment) { eq.setvar(~alreadyheretemp~|1); } } attack(d); sfxdamage(target|d); if(d == 1 && simulation) bonus(-9999999); if(d == 1 && !simulation) { sfx(~_thinghappens~); var descriptionwhitelist = [~#~.substr(0|1) + ~On 6[;~ + ~]~|~#~.substr(0|1) + ~on 6[;~ + ~]~|~ on 6[;~ + ~]~|~ On 6[;~ + ~]~]; var descriptionblacklist = loadtext(~ncrmod/itemspawnerdescblacklist~); var scriptblacklist = [~self.equipment~|~new elements.Equipment~]; var checkblacklist = function(text|list) { for(phrase in list) { if(text.indexOf(phrase) != -1) { return(false); } } return(true); }; var on6eq = ~~; var exceptions = [~skillcard~|~excludefromrandomlists~|~alternateversion~|~robotonly~|~witchonly~|~inventoronly~|~onceperbattle~]; if(self.usecpuinsteadofdice) exceptions.remove(~robotonly~); if(self.getskillcard() != null && self.getskillcard().skillcard == ~witch~) exceptions.remove(~witchonly~); if(self.getskillcard() != null && self.getskillcard().skillcard == ~inventor~) exceptions.remove(~inventoronly~); var geteqs = getequipmentlist(null|[]|exceptions); geteqs = shuffle(geteqs); var placeholder = new elements.Equipment(~Sword~); var count = 0; while(on6eq == ~~) { placeholder.create(geteqs[count]); trace(placeholder.fulldescription); var ds = placeholder.fulldescription; var sc = placeholder.script; var scbx = placeholder.scriptbeforeexecute; if(!(checkblacklist(ds|descriptionwhitelist)) && checkblacklist(ds|descriptionblacklist) && checkblacklist(sc|scriptblacklist) && checkblacklist(scbx|scriptblacklist)) { on6eq = placeholder.name; } /*else { geteqs.remove(placeholder.name); }*/ count++; trace(count); if(count >= geteqs.length) { placeholder.create(~Hammer~); on6eq = ~Hammer~; break; } } giveequipment(on6eq|true); for(eq in self.equipment) { if(eq.getvar(~alreadyheretemp~) != 1) { self.setvar(~doonthis~|eq); } } var estandardize = ~var e = self.getvar(\~doonthis\~); ~; var doscripts = new elements.Skill(~Against all odds_old~); doscripts.script = estandardize + placeholder.scriptbeforecombat; doscripts.execute(self|target); doscripts.script = estandardize + placeholder.scriptbeforestartturn; doscripts.execute(self|target); doscripts.script = estandardize + placeholder.scriptonstartturn; doscripts.execute(self|target); self.resetvar(~doonthis~); placeholder.name = ~deletemetemp~; self.equipment.push(placeholder); removeequipment(~deletemetemp~); } if(!simulation) { for(eq in self.equipment) { eq.resetvar(~alreadyheretemp~); } },Improvise,NORMAL,,ORANGE,change_power,change_power,,none,0,NO,NO,excludefromrandomlists,,,,,,,,if(d == 1) { e.maintainfury = true; e.preventdefault = true; },,,donothing();,if(!simulation) { for(eq in self.equipment) { eq.setvar(~alreadyheretemp~|1); } } if(d == 1 && simulation) bonus(-9999999); if(d == 1 && !simulation) { sfx(~_thinghappens~); var descriptionwhitelist = [~#~.substr(0|1) + ~On 6[;~ + ~]~|~#~.substr(0|1) + ~on 6[;~ + ~]~|~ on 6[;~ + ~]~|~ On 6[;~ + ~]~]; var descriptionblacklist = loadtext(~ncrmod/itemspawnerdescblacklist~); var scriptblacklist = [~self.equipment~|~new elements.Equipment~]; var checkblacklist = function(text|list) { for(phrase in list) { if(text.indexOf(phrase) != -1) { return(false); } } return(true); }; var on6eq = ~~; var exceptions = [~skillcard~|~excludefromrandomlists~|~alternateversion~|~robotonly~|~witchonly~|~inventoronly~|~onceperbattle~]; if(self.usecpuinsteadofdice) exceptions.remove(~robotonly~); if(self.getskillcard() != null && self.getskillcard().skillcard == ~witch~) exceptions.remove(~witchonly~); if(self.getskillcard() != null && self.getskillcard().skillcard == ~inventor~) exceptions.remove(~inventoronly~); var geteqs = getequipmentlist(null|[]|exceptions); geteqs = shuffle(geteqs); var placeholder = new elements.Equipment(~Sword~); var count = 0; while(on6eq == ~~) { placeholder.create(geteqs[count]); trace(placeholder.fulldescription); var ds = placeholder.fulldescription; var sc = placeholder.script; var scbx = placeholder.scriptbeforeexecute; if(!(checkblacklist(ds|descriptionwhitelist)) && checkblacklist(ds|descriptionblacklist) && checkblacklist(sc|scriptblacklist) && checkblacklist(scbx|scriptblacklist)) { on6eq = placeholder.name; } /*else { geteqs.remove(placeholder.name); }*/ count++; trace(count); if(count >= geteqs.length) { placeholder.create(~Hammer~); on6eq = ~Hammer~; break; } } giveequipment(on6eq|true); for(eq in self.equipment) { if(eq.getvar(~alreadyheretemp~) != 1) { self.setvar(~doonthis~|eq); } } var estandardize = ~var e = self.getvar(\~doonthis\~); ~; var doscripts = new elements.Skill(~Against all odds_old~); doscripts.script = estandardize + placeholder.scriptbeforecombat; doscripts.execute(self|target); doscripts.script = estandardize + placeholder.scriptbeforestartturn; doscripts.execute(self|target); doscripts.script = estandardize + placeholder.scriptonstartturn; doscripts.execute(self|target); self.resetvar(~doonthis~); placeholder.name = ~deletemetemp~; self.equipment.push(placeholder); removeequipment(~deletemetemp~); } if(!simulation) { for(eq in self.equipment) { eq.resetvar(~alreadyheretemp~); } }
Strange Parcel_upgraded,Do [sword]<d6> damage. On 3[;] get|an [quote]on 6[quote] item for this turn,Wibi,Taken from ncrmod,2,if(!simulation) { for(eq in self.equipment) { eq.setvar(~alreadyheretemp~|1); } } attack(d); sfxdamage(target|d); if(d == 3 && simulation) bonus(-9999999); if(d == 3 && !simulation) { sfx(~_thinghappens~); var descriptionwhitelist = [~#~.substr(0|1) + ~On 6[;~ + ~]~|~#~.substr(0|1) + ~on 6[;~ + ~]~|~ on 6[;~ + ~]~|~ On 6[;~ + ~]~]; var descriptionblacklist = loadtext(~ncrmod/itemspawnerdescblacklist~); var scriptblacklist = [~self.equipment~|~new elements.Equipment~]; var checkblacklist = function(text|list) { for(phrase in list) { if(text.indexOf(phrase) != -1) { return(false); } } return(true); }; var on6eq = ~~; var exceptions = [~skillcard~|~excludefromrandomlists~|~alternateversion~|~robotonly~|~witchonly~|~inventoronly~|~onceperbattle~]; if(self.usecpuinsteadofdice) exceptions.remove(~robotonly~); if(self.getskillcard() != null && self.getskillcard().skillcard == ~witch~) exceptions.remove(~witchonly~); if(self.getskillcard() != null && self.getskillcard().skillcard == ~inventor~) exceptions.remove(~inventoronly~); var geteqs = getequipmentlist(null|[]|exceptions); geteqs = shuffle(geteqs); var placeholder = new elements.Equipment(~Sword~); var count = 0; while(on6eq == ~~) { placeholder.create(geteqs[count]); trace(placeholder.fulldescription); var ds = placeholder.fulldescription; var sc = placeholder.script; var scbx = placeholder.scriptbeforeexecute; if(!(checkblacklist(ds|descriptionwhitelist)) && checkblacklist(ds|descriptionblacklist) && checkblacklist(sc|scriptblacklist) && checkblacklist(scbx|scriptblacklist)) { on6eq = placeholder.name; } /*else { geteqs.remove(placeholder.name); }*/ count++; trace(count); if(count >= geteqs.length) { placeholder.create(~Hammer~); on6eq = ~Hammer~; break; } } giveequipment(on6eq|true); for(eq in self.equipment) { if(eq.getvar(~alreadyheretemp~) != 1) { self.setvar(~doonthis~|eq); } } var estandardize = ~var e = self.getvar(\~doonthis\~); ~; var doscripts = new elements.Skill(~Against all odds_old~); doscripts.script = estandardize + placeholder.scriptbeforecombat; doscripts.execute(self|target); doscripts.script = estandardize + placeholder.scriptbeforestartturn; doscripts.execute(self|target); doscripts.script = estandardize + placeholder.scriptonstartturn; doscripts.execute(self|target); self.resetvar(~doonthis~); placeholder.name = ~deletemetemp~; self.equipment.push(placeholder); removeequipment(~deletemetemp~); } if(!simulation) { for(eq in self.equipment) { eq.resetvar(~alreadyheretemp~); } },Improvise,NORMAL,,ORANGE,,,,none,0,NO,NO,excludefromrandomlists,,,,,,,,if(d == 3) { e.maintainfury = true; e.preventdefault = true; },,,,if(!simulation) { for(eq in self.equipment) { eq.setvar(~alreadyheretemp~|1); } } if(d == 3 && simulation) bonus(-9999999); if(d == 3 && !simulation) { sfx(~_thinghappens~); var descriptionwhitelist = [~#~.substr(0|1) + ~On 6[;~ + ~]~|~#~.substr(0|1) + ~on 6[;~ + ~]~|~ on 6[;~ + ~]~|~ On 6[;~ + ~]~]; var descriptionblacklist = loadtext(~ncrmod/itemspawnerdescblacklist~); var scriptblacklist = [~self.equipment~|~new elements.Equipment~]; var checkblacklist = function(text|list) { for(phrase in list) { if(text.indexOf(phrase) != -1) { return(false); } } return(true); }; var on6eq = ~~; var exceptions = [~skillcard~|~excludefromrandomlists~|~alternateversion~|~robotonly~|~witchonly~|~inventoronly~|~onceperbattle~]; if(self.usecpuinsteadofdice) exceptions.remove(~robotonly~); if(self.getskillcard() != null && self.getskillcard().skillcard == ~witch~) exceptions.remove(~witchonly~); if(self.getskillcard() != null && self.getskillcard().skillcard == ~inventor~) exceptions.remove(~inventoronly~); var geteqs = getequipmentlist(null|[]|exceptions); geteqs = shuffle(geteqs); var placeholder = new elements.Equipment(~Sword~); var count = 0; while(on6eq == ~~) { placeholder.create(geteqs[count]); trace(placeholder.fulldescription); var ds = placeholder.fulldescription; var sc = placeholder.script; var scbx = placeholder.scriptbeforeexecute; if(!(checkblacklist(ds|descriptionwhitelist)) && checkblacklist(ds|descriptionblacklist) && checkblacklist(sc|scriptblacklist) && checkblacklist(scbx|scriptblacklist)) { on6eq = placeholder.name; } /*else { geteqs.remove(placeholder.name); }*/ count++; trace(count); if(count >= geteqs.length) { placeholder.create(~Hammer~); on6eq = ~Hammer~; break; } } giveequipment(on6eq|true); for(eq in self.equipment) { if(eq.getvar(~alreadyheretemp~) != 1) { self.setvar(~doonthis~|eq); } } var estandardize = ~var e = self.getvar(\~doonthis\~); ~; var doscripts = new elements.Skill(~Against all odds_old~); doscripts.script = estandardize + placeholder.scriptbeforecombat; doscripts.execute(self|target); doscripts.script = estandardize + placeholder.scriptbeforestartturn; doscripts.execute(self|target); doscripts.script = estandardize + placeholder.scriptonstartturn; doscripts.execute(self|target); self.resetvar(~doonthis~); placeholder.name = ~deletemetemp~; self.equipment.push(placeholder); removeequipment(~deletemetemp~); } if(!simulation) { for(eq in self.equipment) { eq.resetvar(~alreadyheretemp~); } }
